Naziv kompanije,PIB,Matični broj,CRPS Status,Promet 2024,Profit,Broj zaposlenih,Grad,Adresa,Datum osnivanja,Ukupna aktiva
STADION DOO,02077698,50348431,Aktivan,66356978,1662702,209,,,2006-12-19,27582905
RUDNIK UGLJA,02009501,40001652,Aktivan,74957610,15055989,1149,,,2002-08-12,147808001
ONE CRNA GORA DOO,02242974,50017124,Aktivan,65729723,12577473,372,,,2002-07-30,126796468
FARMEGRA,02281864,50117430,Aktivan,64176047,2125220,93,,,2002-08-14,24090613
TOMONTENEGRO DOO,03344312,50955425,Aktivan,62545797,538784,167,,,2021-02-08,31295454
VEZUV,02297060,50077504,Aktivan,61703530,24724939,434,,,2002-08-12,91864038
PETROL CRNA GORA MNE,02675889,50403054,Aktivan,58955514,1312649,148,,,2007-08-22,36894806
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU TEHNO MAX - PODGORICA,02404281,50210924,Aktivan,58301351,4451981,284,,,2004-04-22,44628963
NELT MNE,02313707,50053772,Aktivan,57316319,3127591,222,,,2002-08-07,34541857
DMD DELTA,02329115,50024483,Aktivan,54920149,1609735,81,,,2002-07-30,23647688
XENERGY,02766515,50549113,Aktivan,52266683,3001783,109,,,2009-09-29,30850053
MEGAPROMET,02365928,50147874,Aktivan,53693540,1837163,369,,,2002-11-19,25647453
HIFA OIL CG,03136981,50795092,Aktivan,48787873,916788,100,,,2017-05-18,17729033
COCA-COLA HBC CRNA GORA DOO,02303213,50035431,Aktivan,49864523,1334671,25,,,2002-08-01,16487091
UNIPROM,02049520,50015614,Aktivan,51814008,49957,182,,,2002-07-26,93835038
LUKOIL MONTENEGRO,02630419,50329242,Aktivan,47655441,1935336,112,,,2006-10-30,13086734
MPM,02047861,50024703,Aktivan,47193575,1803825,407,,,2002-08-05,30783651
PRIMATO P,03016455,50709780,Aktivan,46825762,1085095,115,,,2014-10-13,14114834
ZETAGRADNJA,02278383,50030114,Aktivan,49108496,6646956,72,,,2002-08-01,226036456
MI GORANOVIĆ,02109301,50001428,Aktivan,43084003,1464625,224,,,2002-07-09,35126762
ADRIATIC MARINAS,02467593,50301974,Aktivan,42725102,5815154,265,,,2006-06-09,230324046
VCAG,03237656,50871055,Aktivan,41097700,3981219,2,,,2019-01-17,25742286
"KMAG ,KIA MOTORS ADRIA GROUP",02745747,50356251,Aktivan,41033239,447936,2,,,2007-02-22,17970777
HEMOMONT,02204185,50048894,Aktivan,39530404,684888,231,,,2002-08-09,41228171
EUROZOX,02711028,50461924,Aktivan,39285361,1361108,114,,,2008-04-07,42887205
"STRABAG AG AUSTRIA , GLAVNA PODRUŽNICA U PODGORICI",02429381,60005791,Aktivan,34409570,1045203,1,,,2005-05-04,18039394
TABACCO SHOP,02378299,50172311,Aktivan,38280153,1302416,451,,,2003-05-08,12815487
PORTONOVI HOSPITALITY MANAGEMENT COMPANY,03067661,50744586,Aktivan,37727429,1914977,356,,,2015-10-29,23373232
RAIL TRANS LOGISTIC,02734125,50499201,Aktivan,4649820,-150051,1,,,2008-10-13,820988
MONOLITH MNE SERVICE DOO,03359204,50968012,Aktivan,4623192,230427,7,,,2021-05-20,1415054
VIB BETON,03218830,50854089,Aktivan,4617374,99211,15,,,2018-09-27,3629602
MEDICOR,02196344,80000106,Aktivan,4929222,170776,31,,,2002-07-11,2608951
FILAN COMPANY,02381311,50177480,Aktivan,4620148,202524,92,,,2003-06-04,19268362
ORBICO,02864533,50620218,Aktivan,5076479,78139,31,,,2011-12-14,1536802
NOBLEWOOD MARKET DOO,03514889,51103255,Aktivan,4746775,3852,38,,,2023-01-05,1775498
ROCKLER INŽENJERING,02373564,50162192,Aktivan,4562338,690434,30,,,2003-02-27,2904763
CONCORDIA-COMERC,02054566,50077250,Aktivan,4139420,821673,33,,,2002-08-12,4737359
FRIGOELEKTRO,02100037,50021283,Aktivan,4560282,503828,33,,,2002-08-02,5591701
MASTER INŽENJERING,02302586,50006290,Aktivan,5883354,846951,8,,,2002-07-18,68927937
